t_rank,t_tier,t_oname,t_oname2,t_clname,t_clname2,t_champion1,t_champion2,t_champion3,t_champion4,t_champion5,t_champion6,t_champion7,t_champion8,t_roll_id
1,S,2,NULL,1,NULL,2,31,33,7,34,26,44,NULL,1
2,S,5,NULL,4,NULL,58,62,32,37,59,10,30,56,1
3,S,4,NULL,12,NULL,54,14,9,29,15,39,43,NULL,5
4,S,4,13,NULL,NULL,14,9,15,30,39,45,NULL,NULL,5
5,S,7,NULL,6,NULL,32,13,1,40,48,NULL,NULL,NULL,5
6,S,10,NULL,16,NULL,5,57,29,32,46,30,4,56,4
7,S,NULL,NULL,16,15,19,5,14,50,57,29,51,55,4
8,A,NULL,NULL,15,9,8,19,24,5,50,32,51,55,2
9,A,1,NULL,10,NULL,12,41,52,20,22,27,46,61,4
10,A,2,NULL,4,NULL,36,2,33,49,27,59,10,11,1
11,A,5,NULL,10,NULL,23,37,46,26,42,4,61,NULL,1
12,A,6,NULL,5,NULL,35,33,57,28,11,6,56,NULL,1
13,A,6,3,NULL,NULL,35,50,28,60,15,6,NULL,NULL,1
14,A,8,3,NULL,NULL,35,50,32,15,55,11,40,NULL,5
15,A,10,NULL,1,NULL,5,20,7,29,46,11,26,30,4
16,A,12,NULL,1,NULL,31,32,37,59,10,26,13,NULL,5
17,A,12,NULL,7,NULL,17,38,16,31,18,53,56,NULL,2
18,A,13,NULL,6,NULL,62,37,46,30,45,4,56,NULL,5
19,B,1,NULL,15,NULL,25,41,52,22,50,46,51,55,4
20,B,NULL,NULL,7,NULL,17,38,16,18,28,53,11,56,4
21,B,4,NULL,16,NULL,54,29,46,30,39,56,43,NULL,2
22,B,9,NULL,4,NULL,2,49,32,37,59,27,13,NULL,4
23,B,9,NULL,8,NULL,62,21,32,37,27,13,4,NULL,4
24,B,9,NULL,10,NULL,12,22,46,27,45,4,61,NULL,4
