1|Lightning Rain|Ao Shin fires a barrage of 20 lightning strikes at random enemies. Each strike deals magic damage and reduces 10 current Mana from his target.|Damage|185|300|2000|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
2|Binding Eclipse|Aphelios uses his Infernum cannon to blast bolts in a cone towards his target, each dealing a percent of his Attack Damage. Enemies can only take damage from one bolt. He then stuns all enemies hit.|Number of Bolts|5|5|7|Stun Duration|1.25|1.5|1.75|Attack Damage Percentage|325|350|400|NULL|NULL|NULL|NULL
3|Black Hole|Aurelion Sol summons an unstable black hole underneath a random enemy. After 2 seconds it implodes, dealing magic damage to all enemies in the area and increasing their damage taken by 20% for 10 seconds. Black holes generated after 18 seconds of combat are larger and deal 15% more damage.|Damage|325|550|4000|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
4|Tempered Fate|Bard sends magical energy toward the largest group of enemies, stunning them and causing them to take increased damage while stunned. If he hits at least 1 enemy, Bard dances in celebration.|Stasis Duration|1.25|2|15|Increased Damage|15|20|9999|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
5|Unbreakable|Braum raises his shield towards the largest group of enemies for 4 seconds, reducing his damage taken from that direction.|Damage Reduction|70|75|85|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
6|Windblast|Passive: Daeja's attacks are replaced by three barrages that each deal magic damage and reduce the target's Magic Resist by 5. Active: Daeja sends a wind blast toward the most enemies in a line, dealing magic damage.|Passive Damage|45|60|180|Windblast Damage|250|350|1600|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
7|Pale Cascade|Diana shields herself against damage for 6 seconds and summons orbs to orbit around her. These orbs burst dealing magic damage when they hit an enemy. When the final orbs bursts, her shield refreshes.|Orbs|5|6|7|Damage|90|105|120|Shield Amount|300|350|400|NULL|NULL|NULL|NULL
8|Mystic Shot|Ezreal fires an energy bolt towards his target. The first enemy hit takes magic damage and grants Ezreal 10% bonus Attack Speed, stacking up to 5 times.|Damage|200|275|375|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
9|Mega Gnar|Gnar transforms into Mega Form, jumping to his target and knocking up nearby enemies for 1 second. Gnar also gains Attack Damage and Armor, but reduces his Attack Range to 1.|Attack Damage|60|90|150|Armor|40|50|75|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
10|Quickdraw|Passive: Graves' attacks spread in a cone of 4 bullets in front of him, each striking the first enemy hit for a percentage of his Attack Damage. Active: Graves dashes towards his target, quickly fires two attacks, and grants himself Armor and Magic Resist for 4 seconds.|Armor and Magic Resist|30|40|80|Percent of Attack Damage|65|65|170
11|Onslaught of Shadows|Hecarim summons spectral riders that charge through his target, dealing magic damage and stunning enemies hit.|Damage|150|200|300|Stun Duration|1.5|2|8|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
12|Egg Toss|Heimerdinger lobs an egg at the highest percent Health enemy, dealing magic damage and stunning them for 0.5 seconds.|Damage|225|325|475|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
13|Golden Scales|Idas hardens her scales for 2 seconds, reducing incoming damage. She then roars, healing herself and shielding other allies for 5 seconds. The shield grants 30% Attack Speed while it holds.|Damage Reduction|30|50|300|Healing|450|600|3000|Shield Amount|150|600|3000|NULL|NULL|NULL|NULL
14|Counter Strike|Jax enters a defensive stance for 2 seconds, dodging all incoming attacks. When the stance ends, he strikes all nearby enemies, dealing magic damage and stunning them.|Damage|200|300|550|Stun Duration|1|1.25|1.5|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
15|Mercurial Justice|Jayce transforms into his melee form, then slams the ground around his target, dealing magic damage and knocking up enemies in the area for 1.25 seconds. He then replaces his ability with Mercurial Hammer for the rest of combat. Mercury Judgement: Jayce calls lightning upon his target, smiting them for magic damage and dealing additional magic damage to other enemies in the area. He then heals for an ammount and an additional 20% per enemy struck.|Transform Magic Damage|225|300|800|Smite Magic Damage|375|500|1500|Secondary Magic Damage|125|175|500|Healing|150|210|375
16|Tidal Burst|Kaisa fires 4 missiles split between her target and up to 2 other targets within her attack range that each deal magic damage. This increases by 2 missiles each cast, up to 12.|Magic Damage|40|60|85|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
17|Inner Flame|Karma fires a burst of energy towards her target, dealing magic damage in a small area around the first enemy hit.|Damage|210|280|420|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
18|Lee|Dragon's Rage|Lee Sin kicks his target, stunning them for 1.25 seconds and knocking them back. The target and all enemies they hit take magic damage and have their Magic Resist reduced by 40% for 5 seconds.|Damage|230|300|385|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
19|Solar Barrier|Leona creates a barrier around herself, reducing all incoming damage for 4 seconds.|Damage Reduction|30|40|60|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
20|Watch Out!|Lillia strikes a small area around her target's current location, dealing magic damage spread amongst all enemies hit and bonus magic damage to the enemy at the center of the blast.|Damage|215|275|350|Bonus Damage|190|240|320|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
21|Whimsy|Lulu enchants the 2 nearest champions. Enchanted allies gain Attack Speed for 5 seconds. Enchanted enemies are stunned and transformed into harmless dragonlings for 1 second. If there are less than 3 units nearby, Lulu will enchant herself.|Number of Targets|2|2|2|Attack Speed Bonus|30|40|60|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
22|Cosmic Spark|Lux fires a star towards the farthest enemy, dealing magic damage to the first enemy struck, and magic damage to subsequent enemies.|Damage|325|400|500|Additional Damage|175|200|230|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL
